Frame count,Player 1 Keypoints,Player 2 Keypoints,Ball Position,Shot Type,Player 1 RL World Position,Player 2 RL World Position,Ball RL World Position,Who Hit the Ball
1,[],[],"[0, 0]",straight drive,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0 hit the ball
2,[],[],"[0, 0]",straight drive,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0 hit the ball
3,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.430370032787323, 0.34707725048065186], [0.4072798788547516, 0.38420605659484863], [0.43718045949935913, 0.38189083337783813], [0.39987215399742126, 0.43493664264678955], [0.4517933428287506, 0.4289569854736328], [0.3989890217781067, 0.47602465748786926], [0.453362375497818, 0.47105538845062256], [0.4137400686740875, 0.47605523467063904], [0.4344252645969391, 0.4750170409679413], [0.41448909044265747, 0.5440822839736938], [0.4405931532382965, 0.5426304340362549], [0.4176470637321472, 0.6058647632598877], [0.4469979405403137, 0.6035756468772888]]","[[0.0, 0.0], [0.6488515734672546, 0.323932021856308], [0.0, 0.0], [0.6562305688858032, 0.3279139995574951], [0.0, 0.0], [0.656830906867981, 0.3587613105773926], [0.6648992896080017, 0.35928305983543396], [0.6448121070861816, 0.39553505182266235], [0.6503349542617798, 0.39590221643447876], [0.6340352892875671, 0.3854268789291382], [0.0, 0.0], [0.6516218781471252, 0.43724530935287476], [0.6580801606178284, 0.43650418519973755], [0.6451345086097717, 0.49631229043006897], [0.6541025638580322, 0.4967018961906433], [0.6447559595108032, 0.554969310760498], [0.6557056903839111, 0.5537285804748535]]","[0, 0]",straight drive,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0 hit the ball
4,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.41469258069992065, 0.3480544686317444], [0.430396169424057, 0.34725624322891235], [0.4073680341243744, 0.3840861916542053], [0.43748655915260315, 0.38189786672592163], [0.39985936880111694, 0.43458476662635803], [0.4516041874885559, 0.42941775918006897], [0.39888113737106323, 0.4758686423301697], [0.4525598883628845, 0.471510112285614], [0.41408491134643555, 0.4756524860858917], [0.43494826555252075, 0.4747178256511688], [0.4144015908241272, 0.5432015061378479], [0.4406433701515198, 0.5419654846191406], [0.41716235876083374, 0.60600346326828], [0.44658565521240234, 0.6039040684700012]]","[[0.6461354494094849, 0.3306904137134552], [0.6478471159934998, 0.32479214668273926], [0.0, 0.0], [0.655286431312561, 0.3287626802921295], [0.0, 0.0], [0.6571175456047058, 0.3599868714809418], [0.663841724395752, 0.3600749671459198], [0.6461790204048157, 0.39860013127326965], [0.6507906913757324, 0.3978208005428314], [0.6339857578277588, 0.39133399724960327], [0.6388561725616455, 0.39264029264450073], [0.6515082120895386, 0.4380543529987335], [0.6569019556045532, 0.43680340051651], [0.6447973847389221, 0.4974155128002167], [0.6521128416061401, 0.4972255229949951], [0.6447106599807739, 0.5565845966339111], [0.6533897519111633, 0.5545349717140198]]","[0, 0]",straight drive,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0 hit the ball
5,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.41466766595840454, 0.3481186032295227], [0.4301992952823639, 0.34729593992233276], [0.40748757123947144, 0.38387516140937805], [0.4373028874397278, 0.3816361725330353], [0.4000261723995209, 0.43431299924850464], [0.4514555335044861, 0.429082989692688], [0.3990047574043274, 0.47564926743507385], [0.4524824619293213, 0.4712425768375397], [0.41412490606307983, 0.4751776456832886], [0.43482694029808044, 0.47419729828834534], [0.4141438603401184, 0.5430741906166077], [0.4405547082424164, 0.5418099164962769], [0.41678476333618164, 0.6067934632301331], [0.44663500785827637, 0.6046127080917358]]","[[0.6452672481536865, 0.33155620098114014], [0.6469904780387878, 0.32555297017097473], [0.0, 0.0], [0.6539362668991089, 0.32977768778800964], [0.0, 0.0], [0.6532254815101624, 0.3607669472694397], [0.6648051142692566, 0.3610388934612274], [0.6419476270675659, 0.39564239978790283], [0.0, 0.0], [0.6334282755851746, 0.38952016830444336], [0.0, 0.0], [0.6497847437858582, 0.4385925829410553], [0.658406138420105, 0.4378562569618225], [0.6428133845329285, 0.4959718883037567], [0.6537421345710754, 0.4967561960220337], [0.6414481997489929, 0.5538873672485352], [0.653823733329773, 0.5527848601341248]]","[0, 0]",straight drive,"[0, 0, 0]","[0, 0, 0]","[0, 0, 0]",0 hit the ball
6,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.43004876375198364, 0.347076416015625], [0.40745553374290466, 0.3838583528995514], [0.4370200037956238, 0.3816399574279785], [0.3999922275543213, 0.43436309695243835], [0.45131582021713257, 0.42904120683670044], [0.39897340536117554, 0.47542694211006165], [0.45256590843200684, 0.4709496796131134], [0.41412386298179626, 0.47512346506118774], [0.4346349239349365, 0.4741716682910919], [0.41435760259628296, 0.5432948470115662], [0.44057172536849976, 0.5420124530792236], [0.4171817898750305, 0.606941282749176], [0.4467918872833252, 0.6047670841217041]]","[[0.6442965269088745, 0.3310281038284302], [0.6461486220359802, 0.3248988687992096], [0.0, 0.0], [0.6529737710952759, 0.3290848731994629], [0.0, 0.0], [0.6503215432167053, 0.36025869846343994], [0.6661607027053833, 0.3615543842315674], [0.6396413445472717, 0.3951805830001831], [0.0, 0.0], [0.633053183555603, 0.3889971971511841], [0.0, 0.0], [0.6476866602897644, 0.43839672207832336], [0.6592524647712708, 0.43815189599990845], [0.640138566493988, 0.49564242362976074], [0.655184268951416, 0.49690526723861694], [0.6393482089042664, 0.5534318089485168], [0.6555984020233154, 0.5530791878700256]]","[0, 0]",straight drive,"[np.float64(5.522), np.float64(1.751), np.float64(0.236)]","[np.float64(5.808), np.float64(1.218), np.float64(0.164)]","[0, 0, 0]",0 hit the ball
7,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4300611913204193, 0.3469406068325043], [0.40749701857566833, 0.38373076915740967], [0.4369691014289856, 0.3814955949783325], [0.40013089776039124, 0.4343957304954529], [0.4510081708431244, 0.4290594458580017], [0.3990635573863983, 0.47528356313705444], [0.4520389437675476, 0.4707687795162201], [0.4141066074371338, 0.4750274121761322], [0.434556782245636, 0.47404617071151733], [0.4142739772796631, 0.5436633825302124], [0.44014373421669006, 0.5423634052276611], [0.41717272996902466, 0.6070823073387146], [0.4462903141975403, 0.6048724055290222]]","[[0.0, 0.0], [0.6444941163063049, 0.32576286792755127], [0.0, 0.0], [0.6508942246437073, 0.32950347661972046], [0.0, 0.0], [0.6478976011276245, 0.3601251244544983], [0.6667605638504028, 0.3618168234825134], [0.6386982202529907, 0.3954291343688965], [0.6601752042770386, 0.39959579706192017], [0.6330424547195435, 0.3914278745651245], [0.0, 0.0], [0.6456270813941956, 0.4382806420326233], [0.6592873930931091, 0.43809056282043457], [0.6376311779022217, 0.4958535134792328], [0.6555557250976562, 0.49705013632774353], [0.6364932656288147, 0.5534025430679321], [0.6562916040420532, 0.5531758069992065]]","[0, 0]",straight drive,"[np.float64(5.523), np.float64(1.749), np.float64(0.236)]","[np.float64(5.805), np.float64(1.225), np.float64(0.165)]","[0, 0, 0]",0 hit the ball
8,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4299090802669525, 0.3471442759037018], [0.40747013688087463, 0.3840254843235016], [0.43690767884254456, 0.381723016500473], [0.40003547072410583, 0.4345265328884125], [0.45079702138900757, 0.42923271656036377], [0.3988070487976074, 0.47516030073165894], [0.45164281129837036, 0.4707835018634796], [0.41416478157043457, 0.4757370352745056], [0.43460163474082947, 0.4747495949268341], [0.41423600912094116, 0.5445814728736877], [0.4403434693813324, 0.5433051586151123], [0.4169105887413025, 0.6080424785614014], [0.44634538888931274, 0.6058792471885681]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.650116503238678, 0.3302018940448761], [0.0, 0.0], [0.6465362310409546, 0.3609490394592285], [0.6666604280471802, 0.3634136915206909], [0.6375039219856262, 0.3962746858596802], [0.661894679069519, 0.4009409546852112], [0.6324740052223206, 0.39504796266555786], [0.0, 0.0], [0.6439396739006042, 0.43896758556365967], [0.6584616303443909, 0.43910086154937744], [0.6362097263336182, 0.4960440695285797], [0.6552642583847046, 0.49740171432495117], [0.6347935199737549, 0.5531062483787537], [0.6563665866851807, 0.5534548163414001]]","[0, 0]",straight drive,"[np.float64(5.525), np.float64(1.746), np.float64(0.235)]","[np.float64(5.799), np.float64(1.237), np.float64(0.167)]","[0, 0, 0]",0 hit the ball
9,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.4145124554634094, 0.3478300869464874], [0.43002399802207947, 0.34703898429870605], [0.4076666235923767, 0.38407716155052185], [0.4370880126953125, 0.3817916810512543], [0.4005350172519684, 0.4350346326828003], [0.45103535056114197, 0.42947107553482056], [0.3992484211921692, 0.47586169838905334], [0.4516667425632477, 0.47124412655830383], [0.41391223669052124, 0.47614550590515137], [0.4343705177307129, 0.47503116726875305], [0.4139360785484314, 0.545358419418335], [0.4399992525577545, 0.5439640879631042], [0.41718095541000366, 0.6085297465324402], [0.4466175436973572, 0.6061164140701294]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6486808657646179, 0.32913699746131897], [0.0, 0.0], [0.6446905732154846, 0.35973942279815674], [0.6662421226501465, 0.36257103085517883], [0.6358184814453125, 0.3952162563800812], [0.661526620388031, 0.4005171060562134], [0.6322976350784302, 0.3939882516860962], [0.0, 0.0], [0.6426023244857788, 0.4379109740257263], [0.6583067178726196, 0.43837830424308777], [0.634929895401001, 0.4949803352355957], [0.6557081341743469, 0.49661779403686523], [0.6327618360519409, 0.552050769329071], [0.6571323275566101, 0.5528615117073059]]","[0, 0]",straight drive,"[np.float64(5.521), np.float64(1.754), np.float64(0.236)]","[np.float64(5.797), np.float64(1.242), np.float64(0.167)]","[0, 0, 0]",0 hit the ball
10,"[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.41453585028648376, 0.347836434841156], [0.42983072996139526, 0.34703516960144043], [0.4075588285923004, 0.384105384349823], [0.436940997838974, 0.38193783164024353], [0.40026766061782837, 0.4348558783531189], [0.45089608430862427, 0.4296943247318268], [0.3987295925617218, 0.47585219144821167], [0.4513285756111145, 0.47158339619636536], [0.4141470789909363, 0.4760780334472656], [0.43456584215164185, 0.4750964641571045], [0.41413360834121704, 0.5447635054588318], [0.44021788239479065, 0.5434823632240295], [0.4172441065311432, 0.6073541641235352], [0.44663190841674805, 0.605150580406189]]","[[0.0, 0.0], [0.0, 0.0], [0.0, 0.0], [0.6473003029823303, 0.3295137286186218], [0.0, 0.0], [0.6435753703117371, 0.35998332500457764], [0.665991485118866, 0.3623305559158325], [0.6350140571594238, 0.3959924578666687], [0.6621662378311157, 0.4004177451133728], [0.6317096948623657, 0.39593714475631714], [0.0, 0.0], [0.642176628112793, 0.4373377561569214], [0.6584250330924988, 0.43762701749801636], [0.6344711184501648, 0.4948490858078003], [0.6556781530380249, 0.496256947517395], [0.632170557975769, 0.5516941547393799], [0.6570159196853638, 0.5521147847175598]]","[0, 0]",straight drive,"[np.float64(5.522), np.float64(1.751), np.float64(0.236)]","[np.float64(5.797), np.float64(1.242), np.float64(0.167)]","[0, 0, 0]",0 hit the ball
